COD_DANE_MUNICIPIO,TOTAL_MATRICULA,DEPARTAMENTO,MUNICIPIO
47660,5987,MAGDALENA,SABANAS DE SAN ÁNGEL
15759,30495,BOYACÁ,SOGAMOSO
25839,1810,CUNDINAMARCA,UBALÁ
54003,9030,NORTE DE SANTANDER,ÁBREGO
70230,1008,SUCRE,CHALÁN
5861,2022,ANTIOQUIA,VENECIA
76622,6835,VALLE DEL CAUCA,ROLDANILLO
68255,2948,SANTANDER,EL PLAYÓN
5113,1849,ANTIOQUIA,BURITICÁ
52585,3314,NARIÑO,PUPIALES
25645,2075,CUNDINAMARCA,S.ANTONIO DE TEQUENDAMA
8758,122437,ATLÁNTICO,SOLEDAD
86219,892,PUTUMAYO,COLÓN
73347,1425,TOLIMA,HERVEO
15820,755,BOYACÁ,TÓPAGA
68245,342,SANTANDER,EL GUACAMAYO
68855,1080,SANTANDER,VALLE DE SAN JOSÉ
76122,4447,VALLE DEL CAUCA,CAICEDONIA
27660,1216,CHOCÓ,SAN JOSÉ DEL PALMAR
25899,26977,CUNDINAMARCA,ZIPAQUIRÁ
5266,33285,ANTIOQUIA,ENVIGADO
23555,17422,CÓRDOBA,PLANETA RICA
25151,3476,CUNDINAMARCA,CÁQUEZA
8078,14189,ATLÁNTICO,BARANOA
5615,24815,ANTIOQUIA,RIONEGRO
86757,4226,PUTUMAYO,SAN MIGUEL
25377,9761,CUNDINAMARCA,LA CALERA
47318,7639,MAGDALENA,GUAMAL
15753,1800,BOYACÁ,SOATÁ
68720,776,SANTANDER,SANTA HELENA DEL OPÓN
15480,1779,BOYACÁ,MUZO
47001,130748,MAGDALENA,SANTA MARTA
47703,3431,MAGDALENA,SAN ZENÓN
68549,716,SANTANDER,PINCHOTE
23162,22187,CÓRDOBA,CERETE
27025,9069,CHOCÓ,ALTO BAUDÓ
13873,5936,BOLÍVAR,VILLANUEVA
47555,17586,MAGDALENA,PLATO
5467,985,ANTIOQUIA,MONTEBELLO
41801,1623,HUILA,TERUEL
54800,4325,NORTE DE SANTANDER,TEORAMA
15514,555,BOYACÁ,PÁEZ
68572,3312,SANTANDER,PUENTE NACIONAL
5031,5087,ANTIOQUIA,AMALFI
19300,3811,CAUCA,GUACHENÉ
54660,2317,NORTE DE SANTANDER,SALAZAR
41548,3283,HUILA,PITAL
